Method,Mean_F1,Std_F1,Mean_Acc,Mean_Cov
Bilateral,0.7362749456689143,0.14261041862582127,0.7720362568298779,0.5617142857142857
Forced Unilateral,0.6000121699614123,0.12990239979589424,0.6781071428571429,1.0
Uncertain Unilateral,0.5847561612198603,0.23311093335284874,0.33564285714285713,0.5245357142857144
Verification-Only,0.6190714285714287,0.15834536295153695,0.6190714285714287,1.0
