Model,Dataset,Approach,Accuracy,Coverage,F1-Macro
claude-opus-4-1-20250805,factscore,Confidence-0.9,0.081,0.168,0.4739229024943311
claude-opus-4-1-20250805,mmlupro,Bilateral,0.8979591836734694,0.147,0.8960347022490452
claude-opus-4-1-20250805,mmlupro,Unilateral-Forced,0.72,1.0,0.49919871794871795
claude-opus-4-1-20250805,mmlupro,Unilateral-Uncertain,0.348,0.546,0.4547160294562695
claude-opus-4-1-20250805,mmlupro,Confidence-0.5,0.102,1.0,0.09255898366606169
claude-opus-4-1-20250805,mmlupro,Confidence-0.7,0.0,0.0,0.0
claude-opus-4-1-20250805,mmlupro,Confidence-0.9,0.0,0.0,0.0
claude-3-5-haiku-20241022,truthfulqa,Bilateral,0.7664756446991404,0.698,0.7620681794892707
claude-3-5-haiku-20241022,truthfulqa,Unilateral-Forced,0.689,1.0,0.6793783644895244
claude-3-5-haiku-20241022,truthfulqa,Unilateral-Uncertain,0.203,0.249,0.8101127320954908
claude-3-5-haiku-20241022,truthfulqa,Confidence-0.5,0.74,1.0,0.7378768020969855
claude-3-5-haiku-20241022,truthfulqa,Confidence-0.7,0.645,0.859,0.7507971195245481
claude-3-5-haiku-20241022,truthfulqa,Confidence-0.9,0.214,0.26,0.6909560723514212
claude-3-5-haiku-20241022,simpleqa,Bilateral,0.8336079077429983,0.607,0.7947903452015543
claude-3-5-haiku-20241022,simpleqa,Unilateral-Forced,0.815,1.0,0.686568104498299
claude-3-5-haiku-20241022,simpleqa,Unilateral-Uncertain,0.188,0.226,0.7796592775041051
claude-3-5-haiku-20241022,simpleqa,Confidence-0.5,0.811,1.0,0.6923622832903888
claude-3-5-haiku-20241022,simpleqa,Confidence-0.7,0.78,0.939,0.6802873753974967
claude-3-5-haiku-20241022,simpleqa,Confidence-0.9,0.038,0.049,0.7046575342465754
claude-3-5-haiku-20241022,factscore,Bilateral,0.6240875912408759,0.274,0.5470492882019676
claude-3-5-haiku-20241022,factscore,Unilateral-Forced,0.533,1.0,0.5320524061223979
claude-3-5-haiku-20241022,factscore,Unilateral-Uncertain,0.42,1.0,0.29577464788732394
claude-3-5-haiku-20241022,factscore,Confidence-0.5,0.505,1.0,0.5039955910719207
claude-3-5-haiku-20241022,factscore,Confidence-0.7,0.379,0.793,0.4760915358100345
claude-3-5-haiku-20241022,factscore,Confidence-0.9,0.065,0.133,0.41576227390180875
claude-3-5-haiku-20241022,mmlupro,Bilateral,0.6952380952380952,0.735,0.687314827476184
claude-3-5-haiku-20241022,mmlupro,Unilateral-Forced,0.889,1.0,0.6072061742942981
claude-3-5-haiku-20241022,mmlupro,Unilateral-Uncertain,0.115,0.17,0.5814494829670084
claude-3-5-haiku-20241022,mmlupro,Confidence-0.5,0.18,1.0,0.17952740778688525
claude-3-5-haiku-20241022,mmlupro,Confidence-0.7,0.098,0.206,0.4305896805896806
claude-3-5-haiku-20241022,mmlupro,Confidence-0.9,0.025,0.089,0.2697435897435897
llama-4-scout,truthfulqa,Bilateral,0.7587719298245614,0.684,0.7577232944995074
llama-4-scout,truthfulqa,Unilateral-Forced,0.697,1.0,0.6954648382496162
llama-4-scout,truthfulqa,Unilateral-Uncertain,0.376,0.546,0.6848388542557959
llama-4-scout,truthfulqa,Confidence-0.5,0.679,1.0,0.6788301011234943
llama-4-scout,truthfulqa,Confidence-0.7,0.64,0.925,0.6905014317060372
llama-4-scout,truthfulqa,Confidence-0.9,0.513,0.71,0.7185006289308176
llama-4-scout,simpleqa,Bilateral,0.9,0.61,0.8976203119540185
llama-4-scout,simpleqa,Unilateral-Forced,0.766,1.0,0.712310173892517
llama-4-scout,simpleqa,Unilateral-Uncertain,0.448,0.484,0.8440889079780951
llama-4-scout,simpleqa,Confidence-0.5,0.849,1.0,0.7480440038644376
llama-4-scout,simpleqa,Confidence-0.7,0.827,0.957,0.7444456312753684
llama-4-scout,simpleqa,Confidence-0.9,0.826,0.956,0.743010752688172
llama-4-scout,factscore,Bilateral,0.6121794871794872,0.312,0.4218948593479626
llama-4-scout,factscore,Unilateral-Forced,0.575,1.0,0.4470746345163334
llama-4-scout,factscore,Unilateral-Uncertain,0.175,0.311,0.44545835955527585
llama-4-scout,factscore,Confidence-0.5,0.523,1.0,0.501646030772574
llama-4-scout,factscore,Confidence-0.7,0.243,0.52,0.45659842080046475
llama-4-scout,factscore,Confidence-0.9,0.24,0.516,0.4532555282555283
llama-4-scout,mmlupro,Bilateral,0.7494780793319415,0.479,0.7466055369423382
llama-4-scout,mmlupro,Unilateral-Forced,0.727,1.0,0.49600403196774423
llama-4-scout,mmlupro,Unilateral-Uncertain,0.114,0.358,0.3136157907970832
llama-4-scout,mmlupro,Confidence-0.5,0.272,1.0,0.2668267294026652
llama-4-scout,mmlupro,Confidence-0.7,0.197,0.248,0.6508295834138531
llama-4-scout,mmlupro,Confidence-0.9,0.197,0.245,0.6615242919640801
llama-4-maverick,truthfulqa,Bilateral,0.8117839607201309,0.611,0.8079797772767644
llama-4-maverick,truthfulqa,Unilateral-Forced,0.629,1.0,0.6264264518266336
llama-4-maverick,truthfulqa,Unilateral-Uncertain,0.24,0.332,0.6762623479035061
llama-4-maverick,truthfulqa,Confidence-0.5,0.739,1.0,0.7377514345800356
llama-4-maverick,truthfulqa,Confidence-0.7,0.695,0.92,0.7524512705707613
llama-4-maverick,truthfulqa,Confidence-0.9,0.592,0.772,0.7511229555760923
llama-4-maverick,simpleqa,Bilateral,0.8822314049586777,0.484,0.842540537763902
llama-4-maverick,simpleqa,Unilateral-Forced,0.427,1.0,0.4232157183279497
llama-4-maverick,simpleqa,Unilateral-Uncertain,0.223,0.819,0.24873487077828532
llama-4-maverick,simpleqa,Confidence-0.5,0.754,1.0,0.6637856100241091
llama-4-maverick,simpleqa,Confidence-0.7,0.704,0.802,0.7548318672406262
llama-4-maverick,simpleqa,Confidence-0.9,0.687,0.778,0.7308664596155234
llama-4-maverick,factscore,Bilateral,0.6330275229357798,0.218,0.494902687673772
llama-4-maverick,factscore,Unilateral-Forced,0.566,1.0,0.45943522190557795
llama-4-maverick,factscore,Unilateral-Uncertain,0.374,0.661,0.3884069184518916
llama-4-maverick,factscore,Confidence-0.5,0.554,1.0,0.5024076330222824
llama-4-maverick,factscore,Confidence-0.7,0.243,0.476,0.5101388207961768
llama-4-maverick,factscore,Confidence-0.9,0.209,0.421,0.4951809954751132
llama-4-maverick,mmlupro,Bilateral,0.8559782608695652,0.368,0.8513403303378837
llama-4-maverick,mmlupro,Unilateral-Forced,0.547,1.0,0.4326145198077654
llama-4-maverick,mmlupro,Unilateral-Uncertain,0.077,0.598,0.12186473879282403
llama-4-maverick,mmlupro,Confidence-0.5,0.145,1.0,0.1422130502001001
llama-4-maverick,mmlupro,Confidence-0.7,0.051,0.055,0.8671497584541061
llama-4-maverick,mmlupro,Confidence-0.9,0.05,0.052,0.9174603174603174
gemini-2.5-flash,truthfulqa,Bilateral,0.8211382113821138,0.738,0.8087257019438445
gemini-2.5-flash,truthfulqa,Unilateral-Forced,0.75,1.0,0.7452888628064684
gemini-2.5-flash,truthfulqa,Unilateral-Uncertain,0.436,0.523,0.8334961741555148
gemini-2.5-flash,truthfulqa,Confidence-0.5,0.778,1.0,0.7773980844202724
gemini-2.5-flash,truthfulqa,Confidence-0.7,0.75,0.95,0.7892906413992875
gemini-2.5-flash,truthfulqa,Confidence-0.9,0.655,0.812,0.805403293142162
gemini-2.5-flash,simpleqa,Bilateral,0.6947791164658634,0.747,0.5337487133439915
gemini-2.5-flash,simpleqa,Unilateral-Forced,0.873,1.0,0.7965496747197751
gemini-2.5-flash,simpleqa,Unilateral-Uncertain,0.716,0.805,0.8337197616909084
gemini-2.5-flash,simpleqa,Confidence-0.5,0.862,1.0,0.7927666552538157
gemini-2.5-flash,simpleqa,Confidence-0.7,0.861,0.999,0.7919880499728409
gemini-2.5-flash,simpleqa,Confidence-0.9,0.861,0.999,0.7919880499728409
gemini-2.5-flash,factscore,Bilateral,0.6145833333333334,0.384,0.6013356154774264
gemini-2.5-flash,factscore,Unilateral-Forced,0.503,1.0,0.5012638996346281
gemini-2.5-flash,factscore,Unilateral-Uncertain,0.105,0.194,0.47028685381193436
gemini-2.5-flash,factscore,Confidence-0.5,0.559,1.0,0.4813174302042622
gemini-2.5-flash,factscore,Confidence-0.7,0.27,0.501,0.5205781347738373
gemini-2.5-flash,factscore,Confidence-0.9,0.259,0.486,0.5159511221288637
gemini-2.5-flash,mmlupro,Bilateral,0.7433290978398983,0.787,0.7088004278952537
gemini-2.5-flash,mmlupro,Unilateral-Forced,0.786,1.0,0.6097852724938733
gemini-2.5-flash,mmlupro,Unilateral-Uncertain,0.437,0.617,0.6105999831701776
gemini-2.5-flash,mmlupro,Confidence-0.5,0.693,1.0,0.5724466219801432
gemini-2.5-flash,mmlupro,Confidence-0.7,0.692,0.993,0.5748472671668861
gemini-2.5-flash,mmlupro,Confidence-0.9,0.687,0.98,0.5793874355289736
